Port,Volume_Conteneurs_Vides,Bateau_Entreprise,Pourcentage_Conteneurs_Vides,Presence_Moyenne_Jours,Type_Conteneur,Risque_Vide
Tianjin,76815,COSCO,14.6,7,Petites Entreprises,Basse
Rotterdam,121939,Maersk,9.4,4,Petites Entreprises,Haute
Hong Kong,83352,Maersk,9.4,7,Entreprises Grande Taille,Haute
Rotterdam,94535,Maersk,9.4,4,Entreprises Grande Taille,Moyenne
Ningbo Zhoushan,117690,COSCO,13.2,7,Petites Entreprises,Haute
Tianjin,73067,Hapag-Lloyd,10.9,4,Entreprises Grande Taille,Moyenne
Shenzen,97611,Hapag-Lloyd,9.1,7,Particuliers,Basse
Qingdao,89564,Yang Ming,10.4,3,Industriels,Moyenne
Shenzen,79077,Maersk,9.2,6,Alimentaires,Moyenne
Hong Kong,70201,Evergreen,13.4,5,Particuliers,Moyenne
Ningbo Zhoushan,110764,ONE,13.9,3,Petites Entreprises,Haute
Singapour,114495,Yang Ming,12.3,6,Entreprises Grande Taille,Moyenne
Shangai,111268,MSC,14.3,3,Particuliers,Haute
Shangai,112865,CMA CGM,14.1,6,Entreprises Grande Taille,Basse
Ningbo Zhoushan,112524,Evergreen,12.3,6,Alimentaires,Haute
Rotterdam,98710,Yang Ming,11.4,4,Alimentaires,Basse
Shenzen,100575,Maersk,12.9,4,Particuliers,Haute
Hong Kong,90413,Evergreen,14.9,5,Petites Entreprises,Basse
Tianjin,81853,COSCO,11.2,3,Industriels,Moyenne
Hong Kong,64502,MSC,10.9,7,Alimentaires,Basse
Ningbo Zhoushan,120145,COSCO,11.7,5,Particuliers,Moyenne
Shangai,130122,Maersk,13.9,6,Industriels,Basse
Guangzou,99270,Maersk,13.7,5,Industriels,Haute
Busan,102218,Yang Ming,9.8,5,Particuliers,Basse
Shangai,131700,ZIM,14.8,4,Entreprises Grande Taille,Basse
Busan,104941,Evergreen,9.6,7,Industriels,Basse
Guangzou,100725,MSC,11.8,3,Industriels,Basse
Singapour,101056,Yang Ming,13.4,6,Particuliers,Haute
Ningbo Zhoushan,115156,MSC,10.9,4,Alimentaires,Haute
Shangai,149699,CMA CGM,10.1,5,Industriels,Haute
Shenzen,88384,Evergreen,14.4,6,Entreprises Grande Taille,Haute
Ningbo Zhoushan,141441,ONE,14.5,4,Petites Entreprises,Basse
Ningbo Zhoushan,124799,ZIM,9.4,7,Entreprises Grande Taille,Moyenne
Tianjin,93647,CMA CGM,10.4,7,Particuliers,Moyenne
Tianjin,68619,ZIM,11.6,6,Entreprises Grande Taille,Basse
Guangzou,104886,COSCO,12.0,3,Particuliers,Basse
Ningbo Zhoushan,109168,ZIM,9.2,7,Industriels,Haute
Hong Kong,64838,Hapag-Lloyd,11.8,6,Industriels,Haute
Hong Kong,73899,ONE,10.1,3,Petites Entreprises,Haute
Shangai,135259,Maersk,13.5,5,Entreprises Grande Taille,Basse
Hong Kong,78157,CMA CGM,10.4,7,Industriels,Moyenne
Shangai,145528,COSCO,11.3,5,Petites Entreprises,Moyenne
Shangai,118125,Evergreen,13.9,4,Particuliers,Haute
Ningbo Zhoushan,109975,MSC,11.3,5,Industriels,Moyenne
Singapour,104471,ZIM,9.1,7,Petites Entreprises,Haute
Shenzen,90877,ZIM,14.7,7,Particuliers,Haute
Singapour,125690,MSC,14.3,5,Entreprises Grande Taille,Moyenne
Qingdao,101767,Maersk,13.2,6,Entreprises Grande Taille,Moyenne
Guangzou,96710,ONE,13.6,6,Industriels,Haute
Busan,87035,Hapag-Lloyd,12.9,6,Entreprises Grande Taille,Moyenne
Hong Kong,92356,Maersk,14.9,5,Petites Entreprises,Haute
Tianjin,81413,Hapag-Lloyd,9.9,4,Entreprises Grande Taille,Haute
Qingdao,84598,MSC,14.5,6,Entreprises Grande Taille,Basse
Tianjin,69978,ZIM,14.3,7,Industriels,Haute
Hong Kong,74306,COSCO,14.3,6,Entreprises Grande Taille,Basse
Tianjin,96336,MSC,13.6,5,Petites Entreprises,Haute
Shenzen,103518,Evergreen,9.8,4,Industriels,Basse
Rotterdam,112837,Hapag-Lloyd,12.9,5,Entreprises Grande Taille,Basse
Qingdao,81973,Yang Ming,13.8,6,Industriels,Moyenne
Guangzou,108681,ZIM,9.9,7,Alimentaires,Moyenne
Tianjin,84765,ONE,10.4,4,Petites Entreprises,Haute
Shenzen,95428,ZIM,12.0,4,Industriels,Haute
Guangzou,80359,ZIM,9.1,3,Particuliers,Moyenne
Rotterdam,82604,Hapag-Lloyd,13.6,3,Entreprises Grande Taille,Basse
Ningbo Zhoushan,110894,CMA CGM,9.4,7,Industriels,Haute
Rotterdam,87599,ZIM,11.2,7,Alimentaires,Moyenne
Busan,93142,Evergreen,9.6,4,Particuliers,Haute
Singapour,125831,ZIM,11.0,4,Entreprises Grande Taille,Basse
Guangzou,101737,Maersk,10.9,7,Alimentaires,Basse
Qingdao,75548,MSC,9.0,6,Particuliers,Moyenne
Shangai,110732,Hapag-Lloyd,11.2,6,Alimentaires,Haute
Guangzou,103831,MSC,11.3,7,Particuliers,Moyenne
Qingdao,84317,CMA CGM,12.3,5,Particuliers,Basse
Qingdao,84888,ZIM,14.6,4,Alimentaires,Moyenne
Guangzou,80810,ZIM,9.9,5,Particuliers,Haute
Busan,81554,Maersk,10.2,5,Petites Entreprises,Haute
Qingdao,78142,Yang Ming,9.9,5,Particuliers,Haute
Singapour,93676,MSC,12.7,7,Industriels,Basse
Hong Kong,85301,Hapag-Lloyd,10.2,7,Entreprises Grande Taille,Basse
Rotterdam,96066,Evergreen,11.3,3,Petites Entreprises,Basse
Guangzou,108284,CMA CGM,11.6,4,Entreprises Grande Taille,Basse
Busan,103196,MSC,10.8,7,Particuliers,Haute
Qingdao,91659,MSC,11.0,5,Industriels,Haute
Shangai,118781,Hapag-Lloyd,14.5,7,Alimentaires,Haute
Hong Kong,69167,ONE,12.9,7,Petites Entreprises,Moyenne
Shenzen,101168,ZIM,12.3,4,Particuliers,Moyenne
Rotterdam,112118,Evergreen,9.9,5,Entreprises Grande Taille,Basse
Busan,105599,MSC,11.5,5,Particuliers,Basse
Rotterdam,99369,CMA CGM,14.5,7,Particuliers,Haute
Guangzou,99812,Hapag-Lloyd,12.1,7,Particuliers,Haute
Guangzou,85391,Maersk,11.6,4,Entreprises Grande Taille,Basse
Tianjin,81559,COSCO,12.7,6,Industriels,Haute
Hong Kong,92390,ZIM,14.3,7,Alimentaires,Haute
Ningbo Zhoushan,116337,ONE,14.8,6,Industriels,Moyenne
Tianjin,88242,ONE,10.4,6,Alimentaires,Basse
Ningbo Zhoushan,144919,COSCO,11.9,4,Industriels,Moyenne
Busan,87699,Maersk,10.9,4,Particuliers,Moyenne
Shenzen,116847,Evergreen,10.5,4,Entreprises Grande Taille,Basse
Singapour,123064,MSC,10.8,6,Petites Entreprises,Haute
Guangzou,105665,COSCO,14.2,6,Industriels,Moyenne
Qingdao,91471,ZIM,11.7,4,Particuliers,Moyenne
Guangzou,77881,ONE,9.0,5,Particuliers,Moyenne
Shenzen,97658,COSCO,12.5,7,Alimentaires,Haute
Rotterdam,91205,Evergreen,14.9,7,Alimentaires,Haute
Rotterdam,112994,CMA CGM,14.9,7,Particuliers,Moyenne
Shenzen,79938,Evergreen,9.9,5,Entreprises Grande Taille,Haute
Hong Kong,85793,CMA CGM,9.6,6,Alimentaires,Basse
Shenzen,81065,COSCO,11.8,7,Particuliers,Moyenne
Singapour,124600,COSCO,13.4,6,Entreprises Grande Taille,Basse
Singapour,111241,Evergreen,12.8,6,Entreprises Grande Taille,Basse
Busan,75920,CMA CGM,9.5,4,Petites Entreprises,Moyenne
Guangzou,99930,ZIM,11.5,3,Particuliers,Moyenne
Qingdao,93284,Yang Ming,10.9,6,Entreprises Grande Taille,Moyenne
Tianjin,68007,Yang Ming,13.6,3,Petites Entreprises,Basse
Shangai,144603,ONE,14.1,5,Petites Entreprises,Moyenne
Qingdao,80023,COSCO,11.7,7,Petites Entreprises,Haute
Singapour,101885,Yang Ming,10.1,6,Alimentaires,Moyenne
Busan,106037,Evergreen,14.8,5,Particuliers,Haute
Shenzen,90499,Hapag-Lloyd,12.3,4,Industriels,Basse
Guangzou,101764,ZIM,14.5,3,Petites Entreprises,Haute
Tianjin,96336,Evergreen,14.2,7,Entreprises Grande Taille,Moyenne
Hong Kong,71859,Hapag-Lloyd,11.8,5,Alimentaires,Moyenne
Singapour,135494,CMA CGM,11.6,3,Alimentaires,Basse
Singapour,130720,CMA CGM,15.0,7,Industriels,Basse
Qingdao,77594,ZIM,11.2,6,Particuliers,Haute
Singapour,129789,COSCO,10.2,4,Entreprises Grande Taille,Haute
Ningbo Zhoushan,119632,Hapag-Lloyd,9.2,4,Industriels,Haute
Qingdao,96263,COSCO,11.5,5,Petites Entreprises,Moyenne
Singapour,127456,Yang Ming,15.0,3,Alimentaires,Basse
Rotterdam,111729,ONE,9.2,6,Petites Entreprises,Basse
Tianjin,90379,Evergreen,14.2,3,Industriels,Basse
Shenzen,108360,ONE,13.3,3,Industriels,Moyenne
Hong Kong,83077,Evergreen,12.3,3,Entreprises Grande Taille,Basse
Hong Kong,88898,ONE,9.5,3,Alimentaires,Moyenne
Guangzou,77029,Yang Ming,12.9,3,Particuliers,Moyenne
Ningbo Zhoushan,139914,ONE,13.4,7,Industriels,Haute
Shangai,111252,ONE,10.0,6,Alimentaires,Haute
Hong Kong,86293,ONE,9.3,3,Petites Entreprises,Moyenne
Busan,92971,Hapag-Lloyd,13.9,5,Particuliers,Moyenne
Hong Kong,66244,ONE,15.0,3,Industriels,Basse
Singapour,113152,Maersk,12.0,4,Particuliers,Moyenne
Singapour,103195,Yang Ming,11.4,6,Entreprises Grande Taille,Basse
Shenzen,87582,Maersk,13.3,7,Petites Entreprises,Haute
Shenzen,99757,ONE,10.4,6,Particuliers,Basse
Rotterdam,102918,Yang Ming,13.6,3,Industriels,Basse
Rotterdam,102898,ONE,10.5,5,Entreprises Grande Taille,Moyenne
Guangzou,104441,MSC,14.3,6,Petites Entreprises,Moyenne
Singapour,125956,COSCO,12.8,7,Industriels,Moyenne
Guangzou,83342,CMA CGM,11.6,4,Industriels,Haute
Singapour,135068,CMA CGM,14.2,5,Alimentaires,Moyenne
Shenzen,85381,Maersk,11.4,4,Alimentaires,Haute
Shenzen,89458,ZIM,10.0,5,Entreprises Grande Taille,Moyenne
Busan,82241,MSC,11.1,7,Petites Entreprises,Basse
Ningbo Zhoushan,114091,Maersk,11.9,4,Entreprises Grande Taille,Haute
Shangai,151726,MSC,13.2,3,Petites Entreprises,Basse
Guangzou,99431,Yang Ming,11.9,4,Petites Entreprises,Haute
Rotterdam,107291,ZIM,9.7,4,Alimentaires,Haute
Hong Kong,83772,COSCO,10.8,5,Entreprises Grande Taille,Moyenne
Rotterdam,116083,Evergreen,14.9,5,Entreprises Grande Taille,Basse
Qingdao,84463,MSC,12.9,4,Alimentaires,Haute
Tianjin,82929,Evergreen,14.0,7,Petites Entreprises,Haute
Shangai,144490,Evergreen,13.8,3,Entreprises Grande Taille,Moyenne
Shangai,148410,CMA CGM,9.2,4,Particuliers,Moyenne
Busan,75016,ZIM,9.2,3,Particuliers,Basse
Rotterdam,120532,COSCO,12.8,3,Particuliers,Moyenne
Guangzou,105950,Hapag-Lloyd,9.2,6,Petites Entreprises,Moyenne
Singapour,125965,CMA CGM,9.9,6,Alimentaires,Haute
Busan,104638,COSCO,11.3,3,Particuliers,Moyenne
Qingdao,84028,Hapag-Lloyd,10.4,3,Petites Entreprises,Haute
Busan,90293,ZIM,13.0,7,Industriels,Haute
Tianjin,72468,MSC,12.8,7,Particuliers,Haute
Hong Kong,81884,CMA CGM,13.5,4,Petites Entreprises,Haute
Busan,77762,COSCO,13.0,3,Industriels,Basse
Shangai,106449,COSCO,12.0,4,Alimentaires,Haute
Guangzou,86456,Maersk,12.4,6,Industriels,Moyenne
Shangai,117661,ZIM,9.8,6,Alimentaires,Haute
Shenzen,80335,MSC,11.2,4,Alimentaires,Haute
Hong Kong,64779,MSC,10.4,6,Industriels,Haute
Singapour,105568,ONE,12.3,6,Particuliers,Basse
Guangzou,94820,COSCO,9.4,7,Alimentaires,Haute
Rotterdam,117199,Evergreen,12.0,4,Industriels,Basse
Ningbo Zhoushan,144908,ONE,13.7,7,Particuliers,Basse
Singapour,122235,COSCO,9.4,7,Petites Entreprises,Basse
Hong Kong,66714,CMA CGM,11.4,6,Particuliers,Moyenne
Guangzou,78930,Maersk,13.3,5,Industriels,Haute
Shangai,155871,COSCO,9.3,5,Petites Entreprises,Basse
Ningbo Zhoushan,131430,Evergreen,9.4,5,Alimentaires,Haute
Busan,97429,Yang Ming,12.1,5,Petites Entreprises,Haute
Busan,83282,Maersk,11.6,3,Alimentaires,Haute
Guangzou,73850,CMA CGM,11.0,7,Particuliers,Moyenne
Singapour,133610,Yang Ming,11.0,4,Alimentaires,Haute
Singapour,102000,ZIM,13.4,7,Particuliers,Moyenne
Guangzou,101486,COSCO,10.4,5,Industriels,Moyenne
Rotterdam,112991,MSC,12.7,3,Alimentaires,Basse
Busan,106219,Hapag-Lloyd,11.1,7,Entreprises Grande Taille,Basse
Shenzen,103099,Evergreen,10.2,7,Alimentaires,Haute
Tianjin,66707,Yang Ming,11.4,6,Petites Entreprises,Moyenne
Tianjin,87873,ZIM,12.8,7,Entreprises Grande Taille,Basse
Busan,74625,Evergreen,12.8,5,Particuliers,Haute
Rotterdam,106114,Hapag-Lloyd,13.0,3,Entreprises Grande Taille,Haute
Busan,100704,CMA CGM,10.6,6,Industriels,Haute
Ningbo Zhoushan,105802,ZIM,11.8,3,Industriels,Basse
Tianjin,89521,MSC,9.0,5,Particuliers,Moyenne
Hong Kong,74032,CMA CGM,9.7,3,Entreprises Grande Taille,Basse
Qingdao,73599,Hapag-Lloyd,14.0,5,Entreprises Grande Taille,Haute
Shenzen,105994,CMA CGM,12.3,5,Industriels,Haute
Rotterdam,119838,Evergreen,11.1,3,Industriels,Basse
Ningbo Zhoushan,113340,MSC,11.5,5,Industriels,Moyenne
Ningbo Zhoushan,125102,Maersk,11.8,4,Particuliers,Haute
Rotterdam,96793,Hapag-Lloyd,12.7,6,Particuliers,Moyenne
Hong Kong,67188,ONE,12.0,5,Petites Entreprises,Haute
Tianjin,92145,Maersk,12.0,3,Particuliers,Moyenne
Tianjin,72595,Evergreen,10.7,3,Particuliers,Moyenne
Hong Kong,62894,ZIM,12.7,7,Entreprises Grande Taille,Basse
Ningbo Zhoushan,123640,Yang Ming,13.1,5,Entreprises Grande Taille,Basse
Hong Kong,79631,ONE,9.6,6,Entreprises Grande Taille,Basse
Rotterdam,99986,MSC,14.0,6,Particuliers,Haute
Guangzou,78284,MSC,10.9,3,Alimentaires,Haute
Rotterdam,98273,COSCO,11.6,3,Alimentaires,Moyenne
Qingdao,98890,Maersk,13.5,4,Petites Entreprises,Basse
Qingdao,97173,MSC,13.6,7,Particuliers,Basse
Rotterdam,94494,MSC,9.3,6,Entreprises Grande Taille,Haute
Guangzou,96284,CMA CGM,11.8,4,Petites Entreprises,Basse
Shangai,108194,Maersk,14.1,5,Petites Entreprises,Moyenne
Shenzen,116208,COSCO,14.8,6,Industriels,Basse
Rotterdam,119431,COSCO,14.0,6,Particuliers,Moyenne
Shenzen,109641,ONE,11.7,7,Alimentaires,Haute
Tianjin,88202,ONE,14.9,6,Petites Entreprises,Haute
Guangzou,101322,CMA CGM,10.9,6,Entreprises Grande Taille,Haute
Shenzen,100706,ONE,11.1,3,Entreprises Grande Taille,Basse
Busan,85270,Evergreen,9.6,5,Petites Entreprises,Basse
Singapour,98891,ONE,11.7,6,Entreprises Grande Taille,Haute
Singapour,110710,Maersk,10.2,7,Entreprises Grande Taille,Moyenne
Singapour,101838,Evergreen,10.2,3,Particuliers,Moyenne
Shangai,116163,Hapag-Lloyd,13.8,5,Entreprises Grande Taille,Moyenne
Singapour,120988,ZIM,14.7,4,Entreprises Grande Taille,Basse
Singapour,98976,Evergreen,14.9,3,Entreprises Grande Taille,Moyenne
Guangzou,110090,CMA CGM,9.7,3,Entreprises Grande Taille,Moyenne
Busan,76498,COSCO,9.6,6,Industriels,Moyenne
Guangzou,79541,Evergreen,12.8,6,Particuliers,Haute
Shangai,122791,Evergreen,9.5,4,Particuliers,Basse
Tianjin,85244,Evergreen,13.7,4,Petites Entreprises,Moyenne
Hong Kong,64886,Evergreen,13.0,3,Petites Entreprises,Haute
Qingdao,87479,CMA CGM,14.0,7,Alimentaires,Basse
Singapour,96794,MSC,10.6,7,Particuliers,Basse
Singapour,93679,Hapag-Lloyd,9.9,5,Entreprises Grande Taille,Haute
Shangai,132857,Yang Ming,10.4,7,Alimentaires,Moyenne
Shangai,149234,Evergreen,10.1,7,Particuliers,Moyenne
Shangai,118338,Evergreen,10.3,6,Entreprises Grande Taille,Moyenne
Qingdao,94615,CMA CGM,13.8,4,Alimentaires,Haute
Tianjin,90616,Evergreen,11.5,6,Entreprises Grande Taille,Haute
Shenzen,111308,Maersk,14.9,3,Particuliers,Moyenne
Qingdao,98435,Maersk,12.9,5,Alimentaires,Haute
Ningbo Zhoushan,133383,Maersk,14.8,3,Particuliers,Moyenne
Rotterdam,102527,ZIM,10.1,5,Entreprises Grande Taille,Haute
Singapour,134177,Maersk,10.3,6,Petites Entreprises,Moyenne
Rotterdam,119314,Evergreen,13.7,7,Entreprises Grande Taille,Basse
Busan,71477,ONE,10.2,7,Alimentaires,Haute
Guangzou,107919,ZIM,13.6,5,Entreprises Grande Taille,Moyenne
Busan,77818,ONE,14.3,7,Alimentaires,Haute
Ningbo Zhoushan,134501,Evergreen,14.1,3,Alimentaires,Haute
Singapour,130111,COSCO,10.2,4,Industriels,Basse
Ningbo Zhoushan,110873,ONE,13.2,3,Alimentaires,Haute
Qingdao,87082,CMA CGM,10.7,7,Alimentaires,Moyenne
Shangai,153740,CMA CGM,13.3,4,Industriels,Haute
Guangzou,75613,Maersk,12.1,3,Entreprises Grande Taille,Haute
Rotterdam,106874,MSC,13.7,5,Petites Entreprises,Moyenne
Singapour,126675,MSC,12.1,4,Petites Entreprises,Haute
Rotterdam,85029,CMA CGM,9.7,4,Alimentaires,Moyenne
Rotterdam,86535,COSCO,14.4,7,Industriels,Haute
Singapour,124551,MSC,12.1,3,Petites Entreprises,Haute
Ningbo Zhoushan,138104,COSCO,12.4,7,Particuliers,Moyenne
Guangzou,101349,Yang Ming,11.9,3,Alimentaires,Haute
Rotterdam,120914,Evergreen,14.8,3,Entreprises Grande Taille,Basse
Guangzou,82018,Maersk,10.4,6,Industriels,Basse
Qingdao,94022,MSC,13.3,4,Alimentaires,Moyenne
Singapour,129418,MSC,13.0,6,Particuliers,Haute
Tianjin,93579,Evergreen,13.6,6,Alimentaires,Moyenne
Rotterdam,82508,Evergreen,9.3,4,Petites Entreprises,Haute
Qingdao,71530,Evergreen,14.6,4,Entreprises Grande Taille,Moyenne
Guangzou,84977,COSCO,13.0,4,Entreprises Grande Taille,Haute
Ningbo Zhoushan,100694,ZIM,10.4,4,Industriels,Haute
Tianjin,76701,Hapag-Lloyd,9.6,3,Particuliers,Moyenne
Singapour,94578,Evergreen,9.1,4,Petites Entreprises,Moyenne
Qingdao,84000,ZIM,9.1,3,Industriels,Haute
Rotterdam,109917,Maersk,9.3,3,Industriels,Moyenne
Guangzou,108830,Evergreen,12.9,3,Petites Entreprises,Moyenne
Busan,88013,Yang Ming,9.6,3,Petites Entreprises,Basse
Busan,105700,CMA CGM,12.4,3,Entreprises Grande Taille,Basse
Shenzen,80630,ONE,12.9,3,Petites Entreprises,Basse
Tianjin,90579,COSCO,10.9,5,Petites Entreprises,Haute
Ningbo Zhoushan,107150,Yang Ming,10.9,6,Particuliers,Basse
Guangzou,94507,MSC,9.9,7,Particuliers,Haute
Singapour,110228,Maersk,9.6,6,Particuliers,Basse
Shangai,106925,CMA CGM,11.6,5,Entreprises Grande Taille,Moyenne
Rotterdam,117378,CMA CGM,13.0,3,Entreprises Grande Taille,Haute
Rotterdam,104007,CMA CGM,12.4,6,Particuliers,Basse
Busan,94655,Evergreen,10.2,6,Particuliers,Moyenne
Singapour,116177,Evergreen,9.3,6,Particuliers,Basse
Ningbo Zhoushan,125132,COSCO,13.0,4,Petites Entreprises,Haute
Tianjin,94868,CMA CGM,9.4,3,Entreprises Grande Taille,Basse
Qingdao,98928,ONE,9.0,4,Industriels,Basse
Shangai,140614,Yang Ming,11.3,5,Entreprises Grande Taille,Haute
Hong Kong,71578,CMA CGM,13.2,6,Entreprises Grande Taille,Haute
Ningbo Zhoushan,146662,MSC,12.8,6,Particuliers,Moyenne
Qingdao,102296,ONE,10.4,7,Alimentaires,Moyenne
Qingdao,81465,Evergreen,12.0,6,Particuliers,Moyenne
Qingdao,100453,Yang Ming,9.2,4,Alimentaires,Haute
Shangai,143811,Hapag-Lloyd,12.6,5,Petites Entreprises,Haute
Ningbo Zhoushan,116147,ONE,10.8,4,Alimentaires,Haute
Hong Kong,68218,Evergreen,14.2,3,Industriels,Haute
Shangai,139447,Hapag-Lloyd,14.1,5,Entreprises Grande Taille,Haute
Shenzen,83666,MSC,12.2,4,Entreprises Grande Taille,Moyenne
Guangzou,75724,Yang Ming,10.1,7,Particuliers,Haute
Shenzen,96205,CMA CGM,13.3,5,Industriels,Haute
Hong Kong,92347,CMA CGM,11.0,4,Petites Entreprises,Haute
Shenzen,104895,MSC,14.7,5,Entreprises Grande Taille,Haute
Shenzen,108254,Hapag-Lloyd,11.4,3,Industriels,Haute
Busan,83595,Yang Ming,12.9,6,Particuliers,Haute
Guangzou,80023,Evergreen,10.0,3,Industriels,Haute
Rotterdam,116365,Maersk,11.0,4,Entreprises Grande Taille,Moyenne
Singapour,127607,CMA CGM,9.3,6,Alimentaires,Moyenne
Busan,90397,COSCO,9.5,5,Alimentaires,Moyenne
Busan,94749,ZIM,15.0,5,Alimentaires,Moyenne
Guangzou,108671,CMA CGM,9.1,6,Petites Entreprises,Haute
Tianjin,90813,ONE,14.1,5,Petites Entreprises,Haute
Guangzou,80672,Hapag-Lloyd,13.2,3,Particuliers,Moyenne
Shangai,112545,ZIM,9.3,7,Entreprises Grande Taille,Haute
Shangai,107376,ONE,14.5,6,Alimentaires,Moyenne
Rotterdam,112213,Yang Ming,14.7,5,Particuliers,Moyenne
Ningbo Zhoushan,109870,Yang Ming,11.9,5,Industriels,Moyenne
Hong Kong,90990,Evergreen,11.8,6,Alimentaires,Moyenne
Shangai,135502,ONE,14.3,7,Particuliers,Moyenne
Guangzou,102563,Maersk,9.3,6,Industriels,Haute
Guangzou,79832,ONE,11.1,4,Industriels,Moyenne
Qingdao,94640,Evergreen,12.0,4,Alimentaires,Haute
Ningbo Zhoushan,122893,Yang Ming,9.2,7,Entreprises Grande Taille,Basse
Guangzou,95155,Hapag-Lloyd,14.8,7,Entreprises Grande Taille,Moyenne
Singapour,134714,ONE,10.2,3,Industriels,Basse
Busan,82516,Hapag-Lloyd,13.4,7,Particuliers,Haute
Tianjin,96781,Maersk,12.7,5,Particuliers,Haute
Shenzen,99225,ZIM,12.4,4,Particuliers,Moyenne
Guangzou,83064,CMA CGM,14.1,7,Petites Entreprises,Haute
Busan,77547,Evergreen,12.2,4,Alimentaires,Haute
Rotterdam,112048,MSC,14.0,4,Particuliers,Moyenne
Busan,104814,CMA CGM,12.5,5,Petites Entreprises,Basse
Hong Kong,74095,Hapag-Lloyd,12.9,3,Industriels,Basse
Shangai,113765,Yang Ming,14.3,6,Industriels,Basse
Busan,79645,Hapag-Lloyd,10.5,7,Entreprises Grande Taille,Basse
Tianjin,92309,Hapag-Lloyd,14.1,7,Particuliers,Haute
Singapour,125195,MSC,9.8,5,Entreprises Grande Taille,Haute
Tianjin,92427,COSCO,14.2,5,Petites Entreprises,Moyenne
Hong Kong,92477,Maersk,11.5,5,Particuliers,Moyenne
Busan,73408,CMA CGM,9.1,6,Particuliers,Basse
Shangai,147244,Maersk,12.0,6,Industriels,Basse
Tianjin,80566,Maersk,12.4,6,Alimentaires,Moyenne
Rotterdam,101177,COSCO,14.3,4,Petites Entreprises,Moyenne
Hong Kong,71272,Maersk,14.9,3,Petites Entreprises,Moyenne
Hong Kong,62873,MSC,12.1,6,Particuliers,Haute
Rotterdam,95994,Evergreen,12.1,4,Particuliers,Basse
Rotterdam,120780,Maersk,9.3,7,Petites Entreprises,Haute
Singapour,114324,Yang Ming,11.1,4,Industriels,Moyenne
Shenzen,80510,Evergreen,13.2,3,Petites Entreprises,Moyenne
Ningbo Zhoushan,107771,ZIM,10.0,6,Particuliers,Haute
Shenzen,94121,CMA CGM,10.9,5,Industriels,Moyenne
Ningbo Zhoushan,145302,ONE,14.0,5,Alimentaires,Moyenne
Shangai,126703,Yang Ming,11.0,6,Alimentaires,Haute
Qingdao,70904,Hapag-Lloyd,12.4,4,Alimentaires,Haute
Shenzen,110660,ZIM,14.8,4,Entreprises Grande Taille,Basse
Ningbo Zhoushan,120145,ZIM,14.1,3,Petites Entreprises,Haute
Shenzen,108510,COSCO,14.0,3,Alimentaires,Haute
Singapour,110738,Hapag-Lloyd,14.0,6,Petites Entreprises,Moyenne
Qingdao,79180,MSC,10.9,3,Particuliers,Moyenne
Hong Kong,70392,ZIM,12.9,7,Petites Entreprises,Haute
Guangzou,90338,Evergreen,14.2,6,Petites Entreprises,Moyenne
Qingdao,77597,Evergreen,11.8,6,Alimentaires,Haute
Shenzen,103105,Evergreen,13.9,7,Entreprises Grande Taille,Moyenne
Shangai,136056,Hapag-Lloyd,12.3,4,Petites Entreprises,Haute
Busan,87190,MSC,11.8,7,Alimentaires,Moyenne
Shangai,151274,Evergreen,13.9,3,Alimentaires,Moyenne
Rotterdam,119816,Evergreen,12.1,3,Industriels,Basse
Guangzou,107632,Yang Ming,9.5,6,Petites Entreprises,Moyenne
Rotterdam,92333,ZIM,13.3,6,Particuliers,Haute
Guangzou,78792,CMA CGM,9.2,3,Alimentaires,Moyenne
Rotterdam,94209,Hapag-Lloyd,14.9,4,Alimentaires,Haute
Rotterdam,83114,COSCO,9.3,7,Industriels,Basse
Shangai,132340,ONE,10.4,3,Alimentaires,Basse
Guangzou,91724,MSC,11.5,5,Alimentaires,Moyenne
Shangai,113817,Maersk,9.7,7,Entreprises Grande Taille,Moyenne
Qingdao,78602,CMA CGM,12.6,6,Particuliers,Basse
Shenzen,84594,ONE,13.2,3,Alimentaires,Basse
Ningbo Zhoushan,126154,Hapag-Lloyd,11.1,3,Petites Entreprises,Haute
Shenzen,101351,CMA CGM,12.3,3,Entreprises Grande Taille,Haute
Qingdao,96417,ZIM,12.6,3,Industriels,Moyenne
Busan,100234,ONE,12.6,7,Entreprises Grande Taille,Moyenne
Guangzou,92006,Yang Ming,13.9,6,Industriels,Moyenne
Qingdao,88420,Hapag-Lloyd,11.7,3,Industriels,Haute
Hong Kong,90697,Maersk,12.7,6,Alimentaires,Haute
Ningbo Zhoushan,147268,ONE,13.8,6,Entreprises Grande Taille,Basse
Guangzou,89606,Yang Ming,13.6,4,Alimentaires,Haute
Singapour,129171,Evergreen,13.5,6,Alimentaires,Haute
Qingdao,73339,ZIM,12.9,3,Particuliers,Moyenne
Qingdao,83438,ONE,14.3,7,Entreprises Grande Taille,Haute
Guangzou,104882,COSCO,14.1,5,Alimentaires,Basse
Busan,94912,Evergreen,9.9,7,Particuliers,Basse
Hong Kong,63722,MSC,10.5,7,Industriels,Basse
Tianjin,90265,CMA CGM,9.6,5,Petites Entreprises,Haute
Ningbo Zhoushan,101322,CMA CGM,14.6,3,Petites Entreprises,Haute
Shenzen,88598,Yang Ming,14.6,7,Petites Entreprises,Haute
Shenzen,89380,CMA CGM,12.6,3,Alimentaires,Haute
Qingdao,85170,COSCO,14.5,4,Alimentaires,Haute
